location_id,location_name
1,Region Hovedstaden
2,Region Midtjylland
3,Region Nordjylland
4,Region Sjælland
5,Region Syddanmark
6,Aabenraa
7,Aalborg
8,Aarhus
9,Ærø
10,Albertslund
11,Allerød
12,Assens
13,Ballerup
14,Billund
15,Bornholm
16,Brøndby
17,Brønderslev
18,Dragør
19,Egedal
20,Esbjerg
21,Faaborg-Midtfyn
22,Fanø
23,Favrskov
24,Faxe
25,Fredensborg
26,Fredericia
27,Frederiksberg
28,Frederikshavn
29,Frederikssund
30,Furesø
31,Gentofte
32,Gladsaxe
33,Glostrup
34,Greve
35,Gribskov
36,Guldborgsund
37,Haderslev
38,Halsnæs
39,Hedensted
40,Helsingør
41,Herlev
42,Herning
43,Hillerød
44,Hjørring
45,Høje Taastrup
46,Hørsholm
47,Holbæk
48,Holstebro
49,Horsens
50,Hvidovre
51,Ikast-Brande
52,Ishøj
53,Jammerbugt
54,Kalundborg
55,Kerteminde
56,København
57,Køge
58,Kolding
59,Læsø
60,Langeland
61,Lejre
62,Lemvig
63,Lolland
64,Lyngby-Taarbæk
65,Mariagerfjord
66,Middelfart
67,Morsø
68,Næstved
69,Norddjurs
70,Nordfyn
71,Nyborg
72,Odder
73,Odense
74,Odsherred
75,Randers
76,Rebild
77,Ringkøbing-Skjern
78,Ringsted
79,Rødovre
80,Roskilde
81,Rudersdal
82,Samsø
83,Silkeborg
84,Skanderborg
85,Skive
86,Slagelse
87,Sønderborg
88,Solrød
89,Sorø
90,Stevns
91,Struer
92,Svendborg
93,Syddjurs
94,Tårnby
95,Thisted
96,Tønder
97,Vallensbæk
98,Varde
99,Vejen
100,Vejle
101,Vesthimmerland
102,Viborg
103,Vordingborg
104,1050 København K
105,1051 København K
106,1052 København K
107,1053 København K
108,1054 København K
109,1055 København K
110,1056 København K
111,1057 København K
112,1058 København K
113,1059 København K
114,1060 København K
115,1061 København K
116,1062 København K
117,1063 København K
118,1064 København K
119,1065 København K
120,1066 København K
121,1067 København K
122,1068 København K
123,1069 København K
124,1070 København K
125,1071 København K
126,1072 København K
127,1073 København K
128,1074 København K
129,1100 København K
130,1101 København K
131,1102 København K
132,1103 København K
133,1104 København K
134,1105 København K
135,1106 København K
136,1107 København K
137,1110 København K
138,1111 København K
139,1112 København K
140,1113 København K
141,1114 København K
142,1115 København K
143,1116 København K
144,1117 København K
145,1118 København K
146,1119 København K
147,1120 København K
148,1121 København K
149,1122 København K
150,1123 København K
151,1124 København K
152,1125 København K
153,1126 København K
154,1127 København K
155,1128 København K
156,1129 København K
157,1130 København K
158,1131 København K
159,1150 København K
160,1151 København K
161,1152 København K
162,1153 København K
163,1154 København K
