company_id,company_name,employee_count,employee_count_low,n_sectors,sectors,n_divisions,divisions
10001560,Promana A/S,8,8,1,Rådgivning mv.,1,Arkitektvirksomhed
10003415,Th. Olesen Import A/S,2,2,1,Handel,1,Ikke-specialiseret engroshandel med føde-
10005086,Magnus Thomsens Eftf. ApS,60,60,1,Bygge og anlæg,1,Tømrer- og bygningssnedkervirksomhed
10005140,Jørgen Windelev A/S,22,22,2,"Træ- og papirindustri, trykkerier; Handel",2,Prepress- og premedia-arbejde; Engroshandel med bøger
10006317,Igus ApS,6,6,1,Handel,1,Engroshandel med andre råvarer og halvfabrikata
10006856,LEA Ejendomspartner,58,58,1,Rejsebureauer  rengøring og anden operationel service,1,Kombinerede serviceydelser
10007127,Novozymes A/S,2796,2796,2,Kemisk industri; Ejendomshandel og udlejning,2,Fremstilling af andre organiske basiskemikalier; Udlejning af erhvervsejendomme
10008123,Sentia Denmark A/S,203,203,1,It- og informationstjenester,1,Databehandling
10008263,Dan Exchange A/S,18,18,1,Finansiering og forsikring,1,Værdipapir- og varemægling
10008328,OEM Automatic Klitsø A/S,37,37,1,Handel,1,Engroshandel med andre maskiner og andet udstyr
10008824,Normann Copenhagen ApS,57,57,1,Handel,1,Ikke-specialiseret engroshandel
10010691,PFP A/S,75,75,1,"Træ- og papirindustri, trykkerier",1,Fremstilling af finerplader og træbaserede plader
10011663,Espresso House,804,804,1,Hoteller og restauranter,1,Caféer
10013267,Symphogen A/S,123,123,1,Forskning og udvikling,1,Forskning og eksperimentel udvikling indenfor bioteknologi
10016371,Tefcold A/S,40,40,1,Handel,1,Engroshandel med hårde hvidevarer
10016533,Empaka Kartonnage A/S,18,18,1,"Træ- og papirindustri, trykkerier",1,Fremstilling af bølgepap og pap og emballage af papir og pap
10019265,Zoetis Denmark,74,74,1,Forskning og udvikling,1,Anden forskning og eksperimentel udvikling inden for naturvidenskab og teknik
10019699,Danrevi Løgstør I/S,8,8,1,Rådgivning mv.,1,Bogføring og revision; skatterådgivning
10020360,LAKGRUPPEN A/S,24,24,1,Handel,1,Engroshandel med lak
10020611,Baby Trold ApS,14,14,1,Handel,1,Engroshandel med cykler
10020867,CBS Caféerne ApS,1,1,1,Hoteller og restauranter,1,Caféer
10021936,Fregatten Jylland,43,43,3,Hoteller og restauranter; Ejendomshandel og udlejning; Kultur og fritid,4,Restauranter; Konferencecentre og kursusejendomme; Udlejning af erhvervsejendomme; Museer
10024846,KBM ApS,15,15,1,Maskinindustri,1,Fremstilling af maskiner til produktion af plast og gummi
10026164,E. Lampe Pølsegården ApS,43,43,1,Handel,1,Engroshandel med kød og kødprodukter
10026660,Istobal Danmark A/S,48,48,1,Handel,1,Engroshandel med andre maskiner og andet udstyr
10027357,Solrød Stilladser A/S,42,42,1,Bygge og anlæg,1,Anden bygge- og anlægsvirksomhed
10028086,Master International A/S,11,11,1,Rejsebureauer  rengøring og anden operationel service,1,Leasing af intellektuelle ejendomsrettigheder og lignende
10029155,Vestjysk Marketing ApS,27,27,1,It- og informationstjenester,1,Computerprogrammering
