job_id,skill
865248,engelsk
865248,tysk
865248,udarbejde-salgsrapporter
865248,arbejde-selvstændigt
919366,arbejde-selvstændigt
935870,dansk
935870,business
935870,software
935870,marketing
962587,chef
962587,selskabsret
962587,håndværk
962587,engelsk
962587,gennemslagskraft
962587,arbejde-selvstændigt
962587,konkurrenceret
962587,forsikringsret
962587,energi
979172,design
979172,arbejde-selvstændigt
1018507,dansk
1018507,ungarsk
1018507,solenergi
1018507,r
1018507,business
1018507,engelsk
1018507,gennemslagskraft
1018507,c
1019616,statistik
1019911,statistik
1021158,dansk
1021158,engelsk
1021158,projektstyring
1022638,dansk
1022673,tysk
1022673,foderprodukter
1022673,engelsk
1022673,elektricitet
1022673,arbejde-selvstændigt
1022740,mobile
1022740,jenkins
1022740,statistics
1022740,danish
1022740,software
1022740,design
1022740,business
1022740,support
1022740,functional-programming
1022740,collaboration
1022740,elm
1022740,deployment
1022740,docker
1022740,c
1022740,elixir
1022740,monitoring
1024325,dansk
1024325,mobile
1024325,google
1024325,personlig-udvikling
1024325,support
1024325,golf
1024325,engelsk
1024325,statistik
1025332,kommunikation
1025332,risikostyring
1025452,communication
1025452,swift
1025452,danish
1025452,support
1025452,play
1025452,finance
1025452,payments
1025718,dansk
1025718,hydraulik
1026358,logistics
1026358,engelsk
1026358,dansk
1026358,arbejde-selvstændigt
1027306,segment
1027306,personlig-udvikling
1027590,engelsk
1027590,forberede-prøver
1027590,support
1028036,håndværk
1028131,dansk
1028131,engelsk
1028131,design
1029133,teambuilding
1029133,håndværk
1029133,ansøgningsproces
1029133,logistik
1029484,engelsk
1029484,business
1029484,arbejdsmarkedslovgivning
1030197,elektronik
1030243,dansk
1030243,norsk
1030243,strategisk-planlægning
1030243,marketing
1030243,kommunikation
1030243,engelsk
1030243,svensk
1030243,arbejde-selvstændigt
1030525,produktionsprocesser
1030525,dansk
1030525,robotteknologi
1030525,mechanics
1030525,engelsk
1030525,elektronik
1030799,kontrolsystemer
1030799,engineering
1030799,design
1030799,support
1030799,energy
1030799,energi
1030868,engineering
1030868,elektronik
1030868,support
1031032,mobile
1031032,server
1031032,consumer-electronics
1031032,security
1031032,kommunikation
1031032,engelsk
1031033,statistik
1031065,design
1031065,tower
1031389,dansk
1031389,server
1031389,microsoft-iis
1031389,talegenkendelse
1031389,sql
1031389,norsk
1031389,software
1031389,support
1031389,engelsk
1031389,svensk
1032499,engelsk
1032500,kommunikation
1032500,skrive-engelsk
1032500,arbejde-selvstændigt
1032716,psykiatri
1032716,økonomi
1032821,dansk
1032821,engelsk
1032821,energi
1032931,dansk
1032931,internet-of-things
1032931,support
1032931,kommunikation
1032931,engelsk
1032931,sensors
1032981,artificial-intelligence
1032981,træffe-beslutninger
1032981,personlig-udvikling
1032981,økonomistyring
1032981,kommunikation
1032981,håndværk
1032981,gennemslagskraft
1033216,hjælpemidler
1033742,dansk
1033742,engineering
1033742,engelsk
1033742,design
1033810,english
1033810,danish
1033810,business
1033810,german
1033810,support
1033810,marketing
1033810,collaboration
1033810,energy
1033810,communications
1034072,dansk
1034072,økonomi
1034072,affaldshåndtering
1034072,maven
1034072,chef
1034072,tysk
1034072,kommunikation
1034072,engelsk
1034072,elektricitet
1034072,forretningsmodel
1034072,energi
1034113,dansk
1034113,search-engine
1034113,google
1034113,google-sheets
1034113,økonomi
1034113,software
1034113,business
1034113,strategisk-planlægning
1034113,marketing
1034113,engelsk
1034113,identificere-muligheder
1034113,google-analytics
1034113,advertising
1034121,dansk
1034121,mobile
1034121,design
1034121,support
1034121,javascript
1034121,engelsk
1034480,kundeservice
1034480,segment
1034480,telemarketing
1034817,bygningsreglementer
1034817,chef
1034890,dansk
1034890,tysk
1034890,support
1034890,engelsk
1034890,hydraulik
1034932,communication
1034932,english
1034932,danish
1034932,business
1034932,design
1034932,support
1034932,documentation
1034932,collaboration
1035020,dansk
1035020,organisationsstruktur
1035020,termodynamik
1035020,engelsk
1035020,lægemidler
1035134,økonomistyring
1035134,kommunikation
1035134,chef
1035134,rekruttere-medarbejdere
1035166,personlig-udvikling
1035166,regnskab
1035167,communications
1035167,sales-activities
1035167,business
1035167,marketing
1035229,dansk
1035229,personal-development
1035229,engelsk
1035229,energy
1035229,play
1035276,dansk
1035276,chef
1035276,support
1035276,kommunikation
1035276,cisco
1035371,dansk
1035371,engelsk
1035371,personlig-udvikling
1035379,mobile
1035379,google
1035379,think-creatively
1035379,english
1035379,danish
1035379,software
1035379,design
1035379,embedded-systems
1035379,electronics
1035379,framework
1035379,c
1035379,sensors
1035379,testing
1035379,git
1035433,engelsk
1035433,tysk
1035433,læse-tekniske-tegninger
1035493,dansk
1035493,structured-text
1035493,html5
1035493,automationsteknologi
1035493,robotteknologi
1035493,javascript
1035493,engelsk
1035493,linux
1035493,elektronik
1035493,java
1035565,dansk
1035565,engelsk
1035659,english
1035659,danish
1035659,business
1035659,german
1035659,documentation
1035659,collaboration
1035659,energy
1035659,fossil-fuels
1035700,engelsk
1035700,finance
1035700,accounting
1035722,engelsk
1035754,kundeservice
1035754,projektstyring
1035754,design
1035754,optik
1035754,prioritere-opgaver
1035754,finance
1035906,arbejde-selvstændigt
1035975,projektstyring
1035979,dansk
1035979,energi
1035979,filosofi
1035979,crm
1036051,dansk
1036051,design
1036051,chef
1036262,dansk
1036269,dansk
1036296,communication
1036296,protein
1036296,english
1036296,engineering
1036296,design
1036296,ranking
1036296,testing
1036296,play
1036337,kommunikation
1036337,samfundsvidenskab
1036337,gennemslagskraft
1036409,communication
1036409,liaise-with-auditors
1036409,artificial-intelligence
1036409,swedish
1036409,english
1036409,danish
1036409,collaboration
1036409,accounting
1036409,pharmacokinetics
1036409,accounting-entries
1036409,finance
1036409,payments
1036449,håndværk
1036449,afgive-tilbud
1036586,dansk
1036586,arbejde-selvstændigt
1036668,chef
1036668,energi
1036674,økonomi
1036674,engelsk
1036674,tysk
1036674,gødningsprodukter
1036693,dansk
1036693,jquery
1036693,html
1036693,css
1036693,surveying
1036693,design
1036693,support
1036693,java
1036693,javascript
1036693,python
1036693,engelsk
1036693,c
1036693,robot
1036693,arbejde-selvstændigt
1036693,android
1036693,apache-cordova
1036701,dansk
1036701,engelsk
